predictions,test
7.410231243961263,-11.0
0.8658738955727516,-5.0
1.0976501111211538,-1.0
12.016131314604177,16.0
14.173677748685778,-2.0
19.223562740870946,9.0
4.496734672010542,12.0
-2.2989249903013373,-6.0
-7.090235538281551,1678.0
-7.492399533760368,1.0
2.0792093498492132,-12.0
13.281376386477154,170.0
9.889195828035783,-4.0
18.87024360949632,-1.0
0.547628380972879,-5.0
24.40304903181066,27.0
7.081355402568606,14.0
12.264842228104772,-1.0
26.758837591402227,11.0
21.044991712433166,93.0
4.668386035254545,20.0
0.9306294173634502,3.0
3.0130350390819496,-7.0
-0.9678302286475744,7.0
11.04639462414213,-9.0
-1.6473823716040408,-2.0
3.950007682075947,-1.0
0.010534762685848964,-7.0
43.215188632614264,28.0
-5.640368620348558,1.0
-0.7044351622992502,-3.0
4.075529518067703,-6.0
1.0206982284464896,3.0
0.9098624737416623,11.0
3.1369242522477023,-4.0
1.1910784731909851,33.0
-5.105784557987012,-14.0
-3.051012639556367,3.0
3.351016058156133,10.0
2.2694878013341686,-2.0
-2.4514689005676624,2.0
6.354657292034693,-1.0
-4.733457590371093,-8.0
1.3906542325524187,-7.0
20.46502532989787,-8.0
7.232114252211485,4.0
-8.867663795925683,-7.0
-4.397624200387572,-3.0
-5.734100124572782,-6.0
-10.671184465309246,3.0
-1.5768685515556926,-3.0
15.855515150011483,-1.0
10.610341083814713,14.0
23.60372644268749,-7.0
0.9600033035378841,1.0
-2.915055301728169,21.0
11.789385739315179,-2.0
13.064447007070404,-3.0
5.26599569373866,-6.0
14.424487653077387,-2.0
6.544519188883848,1.0
-0.3829149117075974,-4.0
27.712107861560618,58.0
12.433298317455117,62.0
7.1188892173338925,0.0
2.226720024324181,1.0
1.974494705799387,-4.0
3.0024509658069043,-1.0
6.720459324336526,4.0
-1.9826159086375896,7.0
-2.55410078679483,-6.0
0.7823554223093625,8.0
7.3254468098633545,0.0
16.11065734398769,-1.0
-2.140930001385568,-3.0
2.40187270160311,-4.0
17.50379151700836,-5.0
16.86186165872421,159.0
3.288026667458511,-6.0
-4.239206596064625,11.0
13.229494106124081,99.0
20.02271154551282,52.0
19.366279051058406,-7.0
17.847235523188935,168.0
9.993774810123966,-6.0
1.904738705980404,6.0
20.50543966570654,-8.0
16.96916852191969,50.0
3.1118807360958005,5.0
7.52518713357391,3.0
13.308503616998282,-4.0
11.225894634413226,60.0
9.238121564771593,-3.0
3.5963762736069196,-1.0
-9.670170846249839,-7.0
5.278486750848332,-6.0
5.061899453329001,-3.0
15.334629960349423,-9.0
-0.5601627756372762,103.0
22.785996586026215,133.0
15.69717188006994,15.0
12.860008242534823,13.0
17.845254165774904,10.0
-7.2050962404308105,-3.0
24.953894007323832,18.0
4.773989796897931,-8.0
-13.178190086314192,-9.0
22.256245392084878,104.0
2.144442395927772,-4.0
6.22966956829802,-3.0
-0.9777438617189298,-3.0
-2.363076976804508,-4.0
12.451894440374154,86.0
19.125053386532805,10.0
6.299299726250252,12.0
4.497629989611242,-4.0
-6.3327207414518565,11.0
-1.0803555078221048,22.0
16.15449995940778,10.0
-6.54717590077489,-4.0
6.695903329727448,1.0
13.618844609001956,0.0
10.729251604113653,-6.0
11.548102450045546,-8.0
4.381174633069777,-12.0
-0.7709761591188102,-12.0
0.6347516776208102,-2.0
14.099122072591042,0.0
14.282323299097746,182.0
1.65784833877155,1.0
27.13582037921229,8.0
18.56859566633635,-1.0
14.444333684573346,-2.0
17.054291533189833,-6.0
-5.885532438056044,179.0
7.133656091533522,-7.0
0.9538185544423294,12.0
-3.841267733421244,0.0
1.711182136651316,-5.0
-0.8407627086879361,-6.0
5.6494306716016816,-5.0
21.796037709534644,32.0
11.031405392098574,1.0
12.01625920208535,-6.0
24.635718499387316,-3.0
8.285943563386825,-5.0
14.124528068632989,-3.0
9.58146064570233,-2.0
3.0334063791845365,-3.0
19.25535559033147,102.0
15.121887393217653,92.0
34.20281862207389,-1.0
-0.9718369339827895,-4.0
-8.653853384195747,51.0
13.404919681177452,-1.0
-3.647450408779929,-3.0
-0.933318193840802,-10.0
2.341994226735765,148.0
24.06029636379281,25.0
-5.027512927391892,-1.0
8.103556917841251,1.0
-1.2089934930584207,18.0
18.459277063604368,17.0
11.799961429214058,-2.0
6.74728075591667,-2.0
-6.900609670879991,84.0
18.760804029011226,0.0
-3.1018992483007946,-3.0
-2.215851329511199,11.0
2.049021298252872,0.0
2.944665148585414,-2.0
9.845604355162806,-4.0
25.0684608029286,-5.0
15.22910758287365,4.0
3.184324569890837,20.0
10.196597026479527,42.0
10.58306071171046,37.0
11.481130853636637,-3.0
9.750627398456995,-1.0
14.060168554117693,-4.0
16.532052882646163,0.0
29.142457959662458,14.0
12.70861768330761,-8.0
0.6780042034369522,-8.0
15.374986272584126,-3.0
13.540820079281803,63.0
15.889409515158215,8.0
-4.791586793581905,0.0
4.382732062064944,-5.0
10.970299866638651,3.0
1.5028219137375212,-5.0
10.658693475172228,-4.0
0.7519207734480293,-5.0
-4.431223212674963,-3.0
16.4649359656917,-3.0
-8.21909027255132,0.0
7.888409565330827,-1.0
-3.857005753799376,-5.0
4.8835093974700605,2.0
9.618393510531597,-7.0
2.5972729126732403,28.0
7.690461525887191,4.0
-1.7477905003903957,-5.0
0.6755569534725137,6.0
19.10798654957552,2.0
10.91880983825201,-7.0
-4.824126451485796,1.0
18.753592830628776,19.0
4.507942240368793,0.0
11.951917290810089,5.0
-2.5550459704009683,-2.0
16.588970173210726,9.0
-1.2839170116846579,-4.0
12.794073586365394,102.0
-5.456679804192686,-6.0
-10.833302137198055,-3.0
1.3286216200840144,-3.0
3.277786107111419,-8.0
4.581702147248414,-5.0
6.93179509290559,138.0
6.975036564545489,22.0
38.13111959555271,131.0
3.421227133943015,81.0
22.70514195619007,120.0
13.202688288531403,-2.0
17.61178742374512,-9.0
1.9239226351202605,-2.0
13.377984232508384,-5.0
-1.0036067230708197,-8.0
